8 FILES WITH ANOMALOUS DATA IN 5th and 8th FILES,,,,,
Discard (FREQ*LENGTH),PRECISION,RECALL,F1 MEASURE,F0.5 MEASURE,F2 MEASURE
0.01,0.292948316,1,0.451184359,0.340661337,0.670271236
0.03,0.284416354,1,0.441088338,0.331439394,0.661358395
0.05,0.275797373,1,0.431372549,0.322249589,0.653469562
0.07,0.270099368,1,0.42464986,0.316091954,0.647625026
0.1,0.266878756,1,0.420797532,0.31259708,0.644212445
0.2,0.231832071,1,0.375755452,0.273755119,0.599741815
0.3,0.222175265,1,0.362408235,0.262822771,0.584999192
0.4,0.216865363,1,0.355996613,0.257035696,0.579433461
0.5,0.168965517,1,0.287878788,0.202380952,0.5
0.6,0.142125352,1,0.248729401,0.171529599,0.452484066
0.7,0.12327583,1,0.219262967,0.149441143,0.411835198
0.8,0.105880391,1,0.191346241,0.128910165,0.37123957
0.9,0.098154786,1,0.178745985,0.119751558,0.352326721
STATIC,0.164209448,1,0.281606629,0.19706062,0.493850479
MOST RECENT,0.189363417,1,0.318374581,0.225992736,0.538577517
10 FILES WITH ANOMALOUS DATA IN 5th and 8th FILES,,,,,
Discard (FREQ*LENGTH),PRECISION,RECALL,F1 MEASURE,F0.5 MEASURE,F2 MEASURE
0.01,0.450144502,0.991666667,0.615821706,0.504162576,0.794596891
0.03,0.44798,0.991666667,0.613482525,0.501885709,0.79278135
0.05,0.445891445,0.991666667,0.611204102,0.499682289,0.790992313
0.07,0.445891445,0.991666667,0.611204102,0.499682289,0.790992313
0.1,0.433755696,0.991666667,0.600504159,0.487738909,0.784296303
0.2,0.391226431,0.991666667,0.559347865,0.444581015,0.755917119
0.3,0.362244898,0.991666667,0.529554961,0.414581872,0.734035479
0.4,0.343096437,0.991666667,0.508929825,0.394464604,0.718049613
0.5,0.333934295,0.991666667,0.498677249,0.3847254,0.709701178
0.6,0.303484287,0.991666667,0.463914428,0.352161585,0.680598072
0.7,0.271887698,0.991666667,0.425564606,0.317739079,0.645683985
0.8,0.207104136,0.991666667,0.342355283,0.245965407,0.56335305
STATIC,0.343096124,1,0.506821739,0.348593241,0.718049613
MOST RECENT,0.351231239,1,0.512982389,0.352161585,0.702983098
"VARUN'S DATA SET WITH NATE'S ALGO FOR CONCEPT DRIFT, D = .0000001",,,,,
DataSet Number,PRECISION,RECALL,F1 MEASURE,F0.5 MEASURE,F2 MEASURE
1,0.175814438,0.38921897,0.230499798,0.188974707,0.290554784
2,0.06839938,0.393450185,0.196770862,0.157795859,0.260327298
3,0.223856005,0.657829911,0.264387421,0.181631084,0.311862647
4,0.050884189,0.49607779,0.153139005,0.032758389,0.206120509
5,0.199134288,0.895460017,0.277156378,0.221171613,0.459837335
6,0.149273244,0.423886525,0.199460446,0.187892882,0.318161199
7,0.378229439,0.344394316,0.338815784,0.367707833,0.376445042
8,0.139594664,0.705827979,0.152955507,0.163257229,0.222978393
9,0.064448768,0.649847644,0.092381788,0.032485206,0.156839256
10,0.104817464,0.668008786,0.173369288,0.141507194,0.338427385
11,0.149143725,0.368001367,0.237419807,0.162267414,0.252770046
12,0.333146105,0.366906525,0.350054613,0.370046235,0.31331515
13,0.057599285,0.307626469,0.072478491,-0.001643442,0.153191964
14,0.177738184,0.452362425,0.263879547,0.22058356,0.316209542
15,0.099332313,0.756772763,0.216284148,0.214084898,0.377110877
16,0.273096307,0.247330542,0.186299614,0.197410938,0.130777718
17,0.146381155,0.77206704,0.216139404,0.181700787,0.345056889
18,0.065270229,0.619851639,0.182507064,0.136907214,0.350634936
19,0.150849102,0.590478303,0.26563001,0.170944998,0.325089663
20,0.134702019,0.685353852,0.201118618,0.164976678,0.26199856
21,0.276824312,0.528399683,0.39054558,0.34608308,0.421836515
22,0.1751567,0.394589399,0.288222272,0.197115404,0.368742037
23,0.197756566,0.551588971,0.329055902,0.201626109,0.360560522
24,0.113359684,0.799122921,0.206089414,0.134848875,0.233266354
25,0.120447877,0.448414146,0.178944472,0.083360154,0.280752806
26,0.183317244,0.473540575,0.276997704,0.27592124,0.387357095
27,0.11191952,0.590633655,0.183196682,0.132332517,0.26236426
28,0.17559955,0.620077162,0.269480875,0.135708737,0.282365005
29,0.257037207,0.530683634,0.267523855,0.287807572,0.384634534
30,0.162290325,0.303471024,0.210443524,0.24188402,0.282071695
31,0.120742816,0.748882568,0.143535862,0.073434986,0.260162375
32,0.158088105,0.744354422,0.176433346,0.130908752,0.283823375
33,0.176864448,0.573694228,0.261364397,0.195481354,0.305285144
34,0.115598417,0.424028267,0.079158092,0.126133663,0.220277371
35,0.10514198,0.481131341,0.164422514,0.054042799,0.228682933
36,0.105999981,0.355892059,0.16590376,0.101493549,0.318044378
37,0.1414034,0.593838423,0.184774467,0.100811653,0.270962863
AVERAGE,0.147707217,0.547868553,0.203324449,0.148230558,0.293241523
"VARUN'S DATA SET WITH NATE'S ALGO FOR CONCEPT DRIFT, D = .0001",,,,,
DataSet Number,PRECISION,RECALL,F1 MEASURE,F0.5 MEASURE,F2 MEASURE
1,0.241092658,0.392331275,0.255828484,0.236210178,0.355671676
2,0.069628322,0.430037356,0.219864003,0.237882373,0.241209926
3,0.261926371,0.68107399,0.244414688,0.302585367,0.389671252
4,0.134389773,0.568303389,0.139825537,0.175185707,0.197357788
5,0.293084478,0.910213643,0.323388019,0.331723918,0.455137211
6,0.232723965,0.488498593,0.274648436,0.220968554,0.35600392
7,0.430826482,0.419002758,0.353081461,0.417447588,0.367380623
8,0.237780455,0.693524025,0.161337989,0.22897374,0.244131828
9,0.130575753,0.726702254,0.145067666,0.136628506,0.226494436
10,0.110848208,0.691904348,0.193926276,0.191730818,0.384970397
11,0.174550243,0.424213524,0.306543202,0.308249088,0.280036599
12,0.352156765,0.445232905,0.374601429,0.402332296,0.316270651
13,0.116337376,0.361295752,0.078468422,0.105698595,0.165515807
14,0.255677054,0.444303438,0.323821058,0.292188506,0.369309946
15,0.143155264,0.760380434,0.284730346,0.270372146,0.375852669
16,0.32663395,0.304141921,0.22924931,0.202176248,0.189032464
17,0.153057968,0.802704355,0.286353539,0.259793846,0.328157526
18,0.113982425,0.699074129,0.224156623,0.237231942,0.425959839
19,0.191903393,0.60020305,0.344713573,0.266188897,0.326195677
20,0.213188125,0.726855468,0.259974526,0.269704134,0.285849455
21,0.369210333,0.581594577,0.447948419,0.418818687,0.459410876
22,0.223381023,0.448540513,0.307450914,0.277119338,0.439086793
23,0.22277433,0.622507793,0.381901495,0.32205462,0.439196208
24,0.166774357,0.868182442,0.270046618,0.259171422,0.277059663
25,0.160192944,0.447338419,0.2549633,0.255098221,0.294667071
26,0.272380672,0.487863226,0.326616872,0.331483543,0.40154441
27,0.171574833,0.661186335,0.232237992,0.235587769,0.313272567
28,0.195710282,0.653392414,0.274160386,0.32614164,0.285604515
29,0.287865018,0.602900981,0.330930805,0.310449821,0.394233659
30,0.182716338,0.364198461,0.21287701,0.288542695,0.360583265
31,0.156264627,0.811069742,0.150436557,0.207961637,0.308910398
32,0.172040542,0.726698917,0.157109511,0.24889651,0.301108882
33,0.206298193,0.634029978,0.275375309,0.333154945,0.363252654
34,0.147894884,0.413670245,0.130652127,0.078462743,0.25107892
35,0.157215425,0.515607751,0.202874894,0.169518369,0.302059466
36,0.162179415,0.413733085,0.223522864,0.175430255,0.379912488
37,0.167654594,0.598920334,0.196433791,0.203138262,0.297637648
AVERAGE,0.182979681,0.585710867,0.242999389,0.242691521,0.339077168
,,,,, 
"VARUN""S DATA SET WITH NB METHOD",,,,,,,
,PRECISION,RECALL,F1 MEASURE,F0.5 MEASURE,F2 MEASURE,AVG TPR,AVG FPR
